MET,	Altitude,	Pressure,	Temperature,	DeltaH,	Acceleration X,	Y,	Z,	Orientation X,	Y,	Z,	GPS Latitude,	GPS Longitude,	Software State
0:0:32,87.35,101377.00,26.20,-0.17,-9.67,-0.38,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.93,101377.00,26.10,0.58,-9.69,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,87.77,101374.00,26.10,-0.17,-9.66,-0.37,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,87.27,101378.00,26.20,-0.50,-9.68,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,87.60,101375.00,26.20,0.33,-9.69,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,88.01,101376.00,26.20,0.42,-9.69,-0.38,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,88.10,101378.00,26.20,0.08,-9.66,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,88.26,101377.00,26.20,0.17,-9.69,-0.37,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,87.85,101377.00,26.20,-0.42,-9.67,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:33,88.01,101376.00,26.20,0.17,-9.67,-0.37,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.93,101375.00,26.10,-0.08,-9.67,-0.38,-0.14,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.93,101377.00,26.10,0.00,-9.68,-0.39,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.52,101377.00,26.20,-0.42,-9.67,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.60,101376.00,26.10,0.08,-9.67,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.68,101378.00,26.10,0.08,-9.67,-0.41,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.60,101377.00,26.20,-0.08,-9.70,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.52,101380.00,26.20,-0.08,-9.68,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:34,87.77,101379.00,26.20,0.25,-9.67,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,87.77,101372.00,26.20,0.00,-9.66,-0.41,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,86.85,101377.00,26.20,-0.91,-9.67,-0.39,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,87.68,101380.00,26.20,0.83,-9.69,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,88.01,101383.00,26.20,0.33,-9.66,-0.40,-0.22,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,87.85,101378.00,26.20,-0.17,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,87.43,101377.00,26.20,-0.42,-9.66,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,87.93,101375.00,26.20,0.50,-9.68,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:35,87.27,101382.00,26.20,-0.66,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.43,101378.00,26.20,0.17,-9.66,-0.38,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.18,101382.00,26.20,-0.25,-9.68,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.27,101376.00,26.20,0.08,-9.69,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.35,101384.00,26.20,0.08,-9.68,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,88.01,101372.00,26.20,0.66,-9.68,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.27,101378.00,26.20,-0.75,-9.66,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.60,101374.00,26.20,0.33,-9.66,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:36,87.60,101376.00,26.20,0.00,-9.70,-0.39,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.85,101376.00,26.20,0.25,-9.68,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.43,101384.00,26.20,-0.42,-9.67,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.43,101373.00,26.20,0.00,-9.66,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.52,101369.00,26.20,0.08,-9.68,-0.41,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.52,101378.00,26.20,0.00,-9.68,-0.41,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.27,101383.00,26.20,-0.25,-9.68,-0.38,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.85,101374.00,26.20,0.58,-9.67,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:37,87.43,101383.00,26.20,-0.42,-9.67,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.85,101379.00,26.20,0.42,-9.66,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.52,101377.00,26.20,-0.33,-9.68,-0.41,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.60,101381.00,26.20,0.08,-9.70,-0.42,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.68,101372.00,26.20,0.08,-9.67,-0.41,-0.22,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.52,101379.00,26.20,-0.17,-9.67,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.43,101379.00,26.20,-0.08,-9.69,-0.43,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.60,101379.00,26.20,0.17,-9.68,-0.37,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:38,87.85,101377.00,26.20,0.25,-9.67,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:39,87.60,101379.00,26.20,-0.25,-9.68,-0.37,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
